📊 Indicadores Clave,,,🔄 Rebalanceo por Aportación,,,,,,,,,,,,,,,💰 Resumen de Dividendos,
Indicador,Datos,,Acción,Monto Ideal,Monto Actual,Déficit,Asignación,Unidades a Comprar,,🕐 Última Actualización,,🏆 Top 5 Holdings Reales,,,,,,Indicador,Valor
Valor total del portafolio,"$555,32",,SPYM,"$222,13","$222,99","-$0,86","$0,00","0,00",,4/6/2026,,Ticker,Peso %,,,,,📊 Total Dividendos,"$0,00"
Total invertido,"$510,68",,SCHD,"$166,60","$166,67","-$0,08","$0,00","0,00",,,,#REF!,#REF!,,,,,📋 # Dividendos,0
Ganancia total,"$44,64",,SCHG,"$166,60","$165,66","$0,94","$0,94","0,03",,🎯 Próxima Meta,,#REF!,#REF!,,,,,💵 SPYM,"$0,00"
Rendimiento %,"8,74%",↑,,,,,,,,Meta:,$1.000,#REF!,#REF!,,,,,💵 SCHD,"$0,00"
Mejor activo,SPYM,,📝 La asignación prioriza activos sub-ponderados (déficit positivo) para rebalancear,,,,,,,Faltan:,"$444,68",#REF!,#REF!,,,,,💵 SCHG,"$0,00"
Peor activo,SCHD,,⚠️ Alerta Rebalanceo:,✅ Portafolio Balanceado,,,,,,Progreso:,56%,#REF!,#REF!,,,,,📈 Promedio/Div,"$0,00"
Activo mas Grande,SPYM,,,,,,,,,📅 Proyección de Meta,,,,,,,,,
Peso Activo mas Grande,"40,16%",,📊 Distribución: Actual vs Objetivo,,,,,,,Ganancia/Día:,"$0,77",📊 Nivel Diversificación,,,,,,📈 Yield Estimado,Anual
,,,Activo,Peso Actual,Peso Objetivo,,,,,Días para Meta:,578 días,HHI Real:,#REF!,,,,,Yield Anual:,"$9,23"
🔄APORTACION,,,SPYM,"40,16%","40,00%",,,,,Fecha Estimada:,3/1/2028,Estado:,#REF!,,,,,Yield %:,"1,66%"
Apotacion del Periodo,"$0,00",,SCHD,"30,01%","30,00%",,,,,Compras:,3,,,,,,,,
,,,SCHG,"29,83%","30,00%",,,,,,,📱 Inversión por App,,,,,,,
,,,,,,,,,,,,App,Total,,,,,,
Rendimiento del S&P 500 YTD,YTD%,,,,,,,,,,,Fintual,"$453,51",,,,,,
S&P500,"10,82%",,,,,,,,,,,Webull,"$57,17",,,,,,
Portafolio,"8,74%",,,,,,,,,,,,,,,,,,
Diferencia vs Benchmark,"-2,08%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Concepto,Monto,,,
📝 Notas de,Inversión,,,,,,,,,,,,,,Actual,"$555,32",,,
Fecha,Nota/Comentario,,,,,,,,,,,,,,Meta,"$1.000,00",,,
4/6/2026,Libro de portafolio completado,,,,,,,,,,,,,,,,,,Puedes crear una app a partir de este libro
